time,GRDC_1160815,US_09447000
2001-12-14,3.532,0.496
2001-12-15,3.495,0.459
2001-12-16,3.132,0.470
2001-12-17,3.535,0.456
2001-12-18,4.261,0.439
2001-12-19,3.411,0.439
2001-12-20,5.061,0.459
2001-12-21,2.648,0.453
2001-12-22,3.725,0.453
2001-12-23,17.612,0.481
2001-12-24,17.894,0.481
2001-12-25,7.672,0.481
2001-12-26,8.512,0.453
2001-12-27,4.454,0.425
2001-12-28,3.100,0.425
2001-12-29,2.731,0.425
2001-12-30,2.905,0.453
2001-12-31,2.936,0.481
2002-01-01,3.285,0.481
2002-01-02,2.831,0.510
2002-01-03,2.446,0.510
2002-01-04,2.316,0.481
2002-01-05,2.832,0.481
2002-01-06,5.711,0.481
2002-01-07,4.807,0.481
2002-01-08,3.372,0.481
2002-01-09,3.391,0.453
2002-01-10,2.892,0.453
2002-01-11,2.444,0.481
2002-01-12,2.221,0.510
2002-01-13,1.937,0.481
2002-01-14,1.795,0.481
2002-01-15,1.742,0.481
2002-01-16,1.660,0.510
2002-01-17,1.557,0.510
2002-01-18,1.468,0.518
2002-01-19,1.404,0.513
2002-01-20,1.388,0.513
2002-01-21,1.345,0.507
2002-01-22,1.649,0.504
2002-01-23,1.643,0.518
2002-01-24,2.249,0.532
2002-01-25,4.167,0.513
2002-01-26,6.356,0.510
2002-01-27,10.903,0.510
2002-01-28,4.555,0.524
2002-01-29,3.107,0.538
2002-01-30,2.784,0.566
2002-01-31,14.875,0.566
2002-02-01,21.528,0.566
2002-02-02,6.246,0.538
2002-02-03,4.323,0.538
2002-02-04,3.423,0.538
2002-02-05,3.083,0.510
2002-02-06,2.692,0.510
2002-02-07,2.827,0.510
2002-02-08,3.632,0.510
2002-02-09,4.512,0.510
2002-02-10,3.334,0.510
2002-02-11,2.766,0.481
2002-02-12,2.522,0.481
2002-02-13,3.058,0.481
2002-02-14,2.646,0.481
2002-02-15,2.401,0.481
2002-02-16,2.537,0.481
2002-02-17,2.487,0.481
2002-02-18,2.263,0.481
2002-02-19,2.135,0.481
2002-02-20,2.033,0.453
2002-02-21,1.910,0.453
2002-02-22,1.849,0.453
2002-02-23,1.828,0.453
2002-02-24,1.763,0.453
2002-02-25,1.704,0.453
2002-02-26,1.341,0.453
2002-02-27,0.599,0.453
2002-02-28,0.620,0.453
2002-03-01,0.597,0.453
2002-03-02,8.164,0.450
2002-03-03,3.759,0.453
2002-03-04,7.812,0.462
2002-03-05,3.243,0.464
2002-03-06,2.070,0.479
2002-03-07,4.417,0.498
2002-03-08,3.526,0.535
2002-03-09,2.774,0.538
2002-03-10,1.990,0.524
2002-03-11,1.901,0.510
2002-03-12,2.715,0.507
2002-03-13,1.790,0.501
2002-03-14,2.583,0.484
2002-03-15,1.885,0.484
2002-03-16,1.270,0.484
2002-03-17,1.043,0.501
2002-03-18,0.913,0.510
2002-03-19,0.789,0.510
2002-03-20,0.665,0.510
2002-03-21,0.605,0.510
2002-03-22,0.549,0.510
2002-03-23,0.506,0.510
2002-03-24,0.474,0.507
2002-03-25,0.457,0.507
2002-03-26,0.448,0.507
2002-03-27,0.410,0.504
2002-03-28,0.342,0.504
2002-03-29,0.283,0.510
2002-03-30,0.272,0.515
2002-03-31,0.257,0.515
2002-04-01,0.245,0.569
2002-04-02,0.270,0.646
2002-04-03,0.247,0.697
2002-04-04,0.205,0.719
2002-04-05,0.180,0.765
2002-04-06,0.152,0.799
2002-04-07,0.136,0.824
2002-04-08,0.128,0.824
2002-04-09,0.148,0.657
2002-04-10,0.153,0.544
